"1. Function of the process item - function of the system, sub-system, part element or process",Specification of process item,2. Function of the process step and product characteristic,No.,Requirement / Specification of the process step,Filter code,3. Function of the process work element and process characteristic,Specification of the process work element,1. Failure effect (FE) to next higher level element and/or end user,Severity (S) of FE,Severity (S max) of FE,2. Failure mode (FM) of the focus element,3. Failure cause (FC) of the work element,Current preventive control (PC) for FC,Occurrence (O1) of FC,Current detection control (DC) for FC or FM,Detection (D1) of FC/FM,PFMEA AP1,Action bundle (date),Recommended action,P/D,Name of responsible person,Target completion date,Status,Action taken with pointer to evidence,P/D.1,Completion date,Severity (S),Occurrence (O2),Detection (D2),PFMEA AP2,subject,fmea_id,fmea_type,package,location,SME_Remark,Index,fmea_idx_id
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"Customer: Electrical/Functional/Reliability Failure
[Z8R00005116]
IFX: Yield loss
[Z8R00005116]",,,Offset Stitch/Wedge Bond,"Capillary/Wedge offset not properly taught after changing
[Method_Z8R00005116]","(P) RMS-Recipe Manage System

(P) System Access Protection

(P) Machine health check during setup/change device",2,"(D) 100% Inpsection at FAV process and affected unit will be segregate out at EAV

(D) 100% Electrical testing",4,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,349,Z8R00005116_349
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"Customer: Electrical/Functional/Reliability Failure
[Z8R00005116]
IFX: Yield loss
[Z8R00005116]",,,Offset Stitch/Wedge Bond,"Operator self teach error
[Method_Z8R00005116]","(P) RMS-Recipe Manage System

(P) System Access Protection

(P) Machine health check during setup/change device",2,"(D) 100% Inpsection at FAV process and affected unit will be segregate out at EAV

(D) 100% Electrical testing",4,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,350,Z8R00005116_350
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"Customer: Electrical/Functional/Reliability Failure
[Z8R00005116]
IFX: Yield loss
[Z8R00005116]",,,Offset Stitch/Wedge Bond,"Wrong bonding program/recipe
[Method_Z8R00005116]","(P) RMS-Recipe Manage System

(P) System Access Protection

(P) Machine health check during setup/change device",2,"(D) 100% Inpsection at FAV process and affected unit will be segregate out at EAV

(D) 100% Electrical testing

(D) SPC Monitoring during PC buyoff (Z8R00005143)",4,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,351,Z8R00005116_351
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"Customer: Electrical/Functional/Reliability Failure
[Z8R00005116]
IFX: Yield loss
[Z8R00005116]",,,Offset Stitch/Wedge Bond,"Wrong manual assist
[Method_Z8R00005116]","(P) RMS-Recipe Manage System

(P) System Access Protection

(P) Machine health check during setup/change device",2,"(D) 100% Inpsection at FAV process and affected unit will be segregate out at EAV

(D) 100% Electrical testing

(D) SPC Monitoring during PC buyoff (Z8R00005143)",4,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,352,Z8R00005116_352
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"IFX: Yield loss
[Z8R00005116]
Customer: Reliability failure
[Z8R00005116]","8.0
8.0",8,Out of Specification Limits Ball Shear,"Bond head loose/shaky
[Machine_Z8R00005116]","(P) Preventive maintenance (Z8R00005138)

(P) Machine health check during setup/change device (Z8R00005144)",2,"(D) 100% Inspection at FAV process (Z8R00002191)

(D) SPC Monitoring during PC buyoff (Z8R00005143)",4,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,353,Z8R00005116_353
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"IFX: Yield loss
[Z8R00005116]
Customer: Reliability failure
[Z8R00005116]",,,Out of Specification Limits Ball Shear,"Bond pad oxidation
[Machine_Z8R00005116]","(P) ProCu-protective copper layer on copper pad technology

(P) Implement heat tunnel",2,"(D) 100% Inpsection at FAV process and affected unit will be segregate out at EAV

(D) SPC Monitoring during PC buyoff (Z8R00005143)

(D) Hot plate test monitoring",4,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,354,Z8R00005116_354
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"IFX: Yield loss
[Z8R00005116]
Customer: Reliability failure
[Z8R00005116]",,,Out of Specification Limits Ball Shear,"Bond force calibration out of specification
[Machine_Z8R00005116]","(P) Preventive maintenance (Z8R00005138)

(P) Machine health check during setup/change device (Z8R00005144)",2,"(D) 100% Inpsection at FAV process and affected unit will be segregate out at EAV

(D)  Ball shear test during PC buyoff (every conversion",4,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,355,Z8R00005116_355
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"IFX: Yield loss
[Z8R00005116]
Customer: Reliability failure
[Z8R00005116]",,,Out of Specification Limits Ball Shear,"Bonding parameters out of specification limits
[Method_Z8R00005116]","(P) RMS-Recipe Manage System (Z8R00003906)

(P) Machine health check during setup/change device (Z8R00005144)",2,"(D) 100% Inspection at FAV process (Z8R00002191)

(D) SPC Monitoring during PC buyoff (Z8R00005143)",4,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,356,Z8R00005116_356
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"IFX: Yield loss
[Z8R00005116]
Customer: Reliability failure
[Z8R00005116]",,,Out of Specification Limits Ball Shear,"Ball/wedge shear test setup error
[Method_Z8R00005116]","(P) Machine health check during setup/change device (Z8R00005144)

(P) Use passivation shear tool for 65um Cu bonding",2,"(D) 100% Inspection at FAV process (Z8R00002191)

(D) SPC Monitoring during PC buyoff (Z8R00005143)",4,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,357,Z8R00005116_357
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"IFX: Yield loss
[Z8R00005116]
Customer: Reliability failure
[Z8R00005116]",,,Out of Specification Limits Ball Shear,"Bonding temperature out of specification limits
[Method_Z8R00005116]","(P) RMS-Recipe Manage System (Z8R00003906)

(P) Machine health check during setup/change device (Z8R00005144)

(P) Use passivation shear tool for 65um Cu bonding",2,"(D) 100% Inspection at FAV process (Z8R00002191)

(D) SPC Monitoring during PC buyoff (Z8R00005143)

(D) Machine stop",2,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,358,Z8R00005116_358
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"IFX: Yield loss
[Z8R00005116]
Customer: Reliability failure
[Z8R00005116]",,,Out of Specification Limits Ball Shear,"Bonded ball size out of specification
[Method_Z8R00005116]","(P) Machine health check during setup/change device (Z8R00005144)

(P) Use passivation shear tool for 65um Cu bonding",2,"(D) 100% Inspection at FAV process (Z8R00002191)

(D) SPC Monitoring during PC buyoff (Z8R00005143)",4,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,359,Z8R00005116_359
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"IFX: Yield loss
[Z8R00005116]
Customer: Reliability failure
[Z8R00005116]",,,Out of Specification Limits Ball Shear,"Ball bond not centered on pad
[Method_Z8R00005116]","(P) Machine health check during setup/change device (Z8R00005144)

(P) Use passivation shear tool for 65um Cu bonding",2,"(D) 100% Inspection at FAV process (Z8R00002191)

(D) SPC Monitoring during PC buyoff (Z8R00005143)",4,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,360,Z8R00005116_360
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"Customer: Reliability failure
[Z8R00005116]
IFX: Yield loss
[Z8R00005116]","8.0
7.0",8,Out of Specification Limits Ball Size,"Forming gas flow out of control/ inconsistent
[Machine_Z8R00005116]","(P) Machine health check during setup/change device (Z8R00005144)

(P) FAB farming check ((Z8R00005143, Z8R00005144)",2,"(D) Implement Digital Flow Meter Control

(D) 100% Inspection at FAV process (Z8R00002191)

(D) SPC Monitoring during PC buyoff (Z8R00005143)",4,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,361,Z8R00005116_361
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"Customer: Reliability failure
[Z8R00005116]
IFX: Yield loss
[Z8R00005116]",,,Out of Specification Limits Ball Size,"EFO sparking electrode dirty
[Machine_Z8R00005116]","(P) Check the EFO jig condition after used/ before safe keep

(P) FAB farming check ((Z8R00005143, Z8R00005144)",2,"(D) 100% Inspection at FAV process and affected unit will be reject at FAV.

(D) SPC Monitoring during PC buyoff (Z8R00005143)",4,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,362,Z8R00005116_362
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"Customer: Reliability failure
[Z8R00005116]
IFX: Yield loss
[Z8R00005116]",,,Out of Specification Limits Ball Size,"Bond force calibration out of specification
[Machine_Z8R00005116]","(P) Preventive maintenance (Z8R00005138)

(P) Machine health check during setup/change device (Z8R00005144)",2,"(D) 100% Inpsection at FAV process and affected unit will be segregate out at EAV

(D) SPC Monitoring during PC buyoff (Z8R00005143)",4,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,363,Z8R00005116_363
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"Customer: Reliability failure
[Z8R00005116]
IFX: Yield loss
[Z8R00005116]",,,Out of Specification Limits Ball Size,"Bonding parameters not optimized per technology
[Method_Z8R00005116]","(P) Machine health check during setup/change device (Z8R00005144)

(P) RMS-Recipe Manage System (Z8R00003906)

(P) System Access Protection",2,"(D) 100% Inpsection at FAV process and affected unit will be segregate out at EAV

(D) SPC Monitoring during PC buyoff (Z8R00005143)",4,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,364,Z8R00005116_364
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"Customer: Reliability failure
[Z8R00005116]
IFX: Yield loss
[Z8R00005116]",,,Out of Specification Limits Ball Size,"Free air ball (FAB) too big/too small
[Method_Z8R00005116]","(P) RMS-Recipe Manage System (Z8R00003906)

(P) System Access Protection

(P) Machine health check during setup/change device (Z8R00005144)

(P) FAB farming check ((Z8R00005143, Z8R00005144)",2,"(D) 100% Inpsection at FAV process and affected unit will be segregate out at EAV

(D) SPC Monitoring during PC buyoff (Z8R00005143)",4,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,365,Z8R00005116_365
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"Customer: Reliability failure
[Z8R00005116]
IFX: Yield loss
[Z8R00005116]",,,Out of Specification Limits Ball Size,"EFO sparking electrode dirty
[Method_Z8R00005116]","(P) Machine health check during setup/change device (Z8R00005144)

(P) FAB forming check ((Z8R00005143, Z8R00005144)",2,"(D) 100% Inspection at FAV process (Z8R00002191)

(D) SPC Monitoring during PC buyoff (Z8R00005143)",4,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,366,Z8R00005116_366
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"Customer: Reliability failure
[Z8R00005116]
IFX: Yield loss
[Z8R00005116]",,,Out of Specification Limits Ball Size,"EFO parameters out of specification limits
[Method_Z8R00005116]","(P) RMS-Recipe Manage System (Z8R00003906)

(P) System Access Protection

(P) Machine health check during setup/change device (Z8R00005144)",2,"(D) 100% Inspection at FAV process (Z8R00002191)

(D) PC buyoff (Z8R00005143)",4,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,367,Z8R00005116_367
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"Customer: Reliability failure
[Z8R00005116]
IFX: Yield loss
[Z8R00005116]",,,Out of Specification Limits Ball Size,"Bonding parameters out of specification limits
[Method_Z8R00005116]","(P) RMS-Recipe Manage System (Z8R00003906)

(P) System Access Protection

(P) Machine health check during setup/change device (Z8R00005144)",2,"(D) 100% Inpsection at FAV process and affected unit will be segregate out at EAV

(D) PC buyoff (Z8R00005143)",4,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,368,Z8R00005116_368
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"Customer: Reliability failure
[Z8R00005116]
IFX: Yield loss
[Z8R00005116]",,,Out of Specification Limits Ball Size,"Bonding temperature out of specification limits
[Method_Z8R00005116]","(P) RMS-Recipe Manage System (Z8R00003906)

(P) System Access Protection

(P) Machine health check during setup/change device (Z8R00005144)",2,"(D) 100% Inspection at FAV process (Z8R00002191)

(D) PC buyoff (Z8R00005143)

(D) Machine stop",2,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,369,Z8R00005116_369
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"Customer: Reliability failure
[Z8R00005116]
IFX: Yield loss
[Z8R00005116]","8.0
7.0",8,Out of Specification Limits Ball Thickness,"Bond force calibration out of specification
[Machine_Z8R00005116]","(P) Preventive maintenance (Z8R00005138)

(P) Machine health check during setup/change device (Z8R00005144)",2,"(D) 100% Inpsection at FAV process and affected unit will be segregate out at EAV

(D) SPC Monitoring during PC buyoff (Z8R00005143)",4,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,370,Z8R00005116_370
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"Customer: Reliability failure
[Z8R00005116]
IFX: Yield loss
[Z8R00005116]",,,Out of Specification Limits Ball Thickness,"Bonding parameters not optimized per technology
[Method_Z8R00005116]","(P) Machine health check during setup/change device (Z8R00005144)

(P) RMS-Recipe Manage System (Z8R00003906)

(P) System Access Protection",2,(D) 100% Inpsection at FAV process and affected unit will be segregate out at EAV,4,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,371,Z8R00005116_371
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"Customer: Reliability failure
[Z8R00005116]
IFX: Yield loss
[Z8R00005116]",,,Out of Specification Limits Ball Thickness,"EFO sparking electrode dirty
[Method_Z8R00005116]","(P) Machine health check during setup/change device (Z8R00005144)

(P) FAB forming check ((Z8R00005143, Z8R00005144)",2,"(D) 100% Inspection at FAV process (Z8R00002191)

(D) SPC Monitoring during PC buyoff (Z8R00005143)",4,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,372,Z8R00005116_372
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"Customer: Reliability failure
[Z8R00005116]
IFX: Yield loss
[Z8R00005116]",,,Out of Specification Limits Ball Thickness,"EFO parameters out of specification limits
[Method_Z8R00005116]","(P) RMS-Recipe Manage System (Z8R00003906)

(P) System Access Protection

(P) Machine health check during setup/change device (Z8R00005144)",2,"(D) 100% Inpsection at FAV process and affected unit will be segregate out at EAV

(D) PC buyoff (Z8R00005143)",4,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,373,Z8R00005116_373
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"Customer: Reliability failure
[Z8R00005116]
IFX: Yield loss
[Z8R00005116]",,,Out of Specification Limits Ball Thickness,"Bonding parameters out of specification limits
[Method_Z8R00005116]","(P) RMS-Recipe Manage System (Z8R00003906)

(P) System Access Protection

(P) Machine health check during setup/change device (Z8R00005144)",2,"(D) 100% Inpsection at FAV process and affected unit will be segregate out at EAV

(D) PC buyoff (Z8R00005143)",4,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,374,Z8R00005116_374
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"Customer: Reliability failure
[Z8R00005116]
IFX: Yield loss
[Z8R00005116]",,,Out of Specification Limits Ball Thickness,"Forming gas flow out of control/ inconsistent
[Method_Z8R00005116]","(P) Machine health check during setup/change device (Z8R00005144)

(P) FAB farming check ((Z8R00005143, Z8R00005144)",2,"(D) Implement Digital Flow Meter Control

(D) 100% Inpsection at FAV process and affected unit will be segregate out at EAV",4,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,375,Z8R00005116_375
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"Customer: Reliability failure
[Z8R00005116]
IFX: Yield loss
[Z8R00005116]",,,Out of Specification Limits Ball Thickness,"Bonding temperature out of specification limits
[Method_Z8R00005116]","(P) RMS-Recipe Manage System (Z8R00003906)

(P) System Access Protection

(P) Machine health check during setup/change device (Z8R00005144)",2,"(D) 100% Inspection at FAV process (Z8R00002191)

(D) PC buyoff (Z8R00005143)

(D) Machine stop",2,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,376,Z8R00005116_376
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"IFX: Yield loss
[Z8R00005116]
Customer: Reliability failure
[Z8R00005116]","8.0
8.0",8,Out of Specification Limits Stitch/Wedge Size,"Bonding parameters not optimized
[Method_Z8R00005116]","(P) RMS-Recipe Manage System (Z8R00003906)

(P) System Access Protection

(P) Machine health check during setup/change device (Z8R00005144)",2,"(D) 100% Inpsection at FAV process and affected unit will be segregate out at EAV

(D) 100% Electrical testing

(D) SPC Monitoring (Z8R00005143)",4,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,377,Z8R00005116_377
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"IFX: Yield loss
[Z8R00005116]
Customer: Reliability failure
[Z8R00005116]",,,Out of Specification Limits Stitch/Wedge Size,"Bonding parameters out of specification limits
[Method_Z8R00005116]","(P) RMS-Recipe Manage System (Z8R00003906)

(P) System Access Protection

(P) Machine health check during setup/change device (Z8R00005144)",2,"(D) 100% Inpsection at FAV process and affected unit will be segregate out at EAV

(D) 100% Electrical testing

D) SPC Monitoring during PC buyoff (Z8R00005143)",4,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,378,Z8R00005116_378
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"IFX: Yield loss
[Z8R00005116]
Customer: Reliability failure
[Z8R00005116]",,,Out of Specification Limits Stitch/Wedge Size,"Wrong bonding program/recipe
[Method_Z8R00005116]","(P) RMS-Recipe Manage System (Z8R00003906)

(P) System Access Protection

(P) Machine health check during setup/change device (Z8R00005144)",2,"(D) 100% Inpsection at FAV process and affected unit will be segregate out at EAV

(D) 100% Electrical testing

(D) SPC Monitoring (Z8R00005143)",4,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,379,Z8R00005116_379
